pitches,playerid,player_name,game_date,game_pk,total_pitches,pitch_percent,season
94,663687,"Harris, Hogan",5/7/2024,745668,94,100,2024
93,641302,"Alexander, Tyler",5/24/2024,745087,93,100,2024
87,670766,"McCaughan, Darren",5/4/2024,745666,87,100,2024
86,641302,"Alexander, Tyler",4/14/2024,745113,86,100,2024
86,669194,"Nelson, Ryne",5/22/2024,746143,86,100,2024
85,686613,"Brown, Hunter",5/11/2024,746480,85,100,2024
82,641302,"Alexander, Tyler",3/31/2024,745115,82,100,2024
82,647336,"Soroka, Michael",5/18/2024,745744,82,100,2024
81,686730,"Spiers, Carson",4/9/2024,746732,81,100,2024
80,677944,"Cecconi, Slade",5/20/2024,746146,80,100,2024
80,669060,"Wilson, Bryse",5/24/2024,746956,80,100,2024
80,661269,"Gutierrez, Vladimir",3/31/2024,746090,80,100,2024
79,641302,"Alexander, Tyler",5/30/2024,745081,79,100,2024
79,686796,"Walston, Blake",5/1/2024,747207,79,100,2024
78,670241,"Vines, Darius",5/24/2024,745501,78,100,2024
75,642232,"Yarbrough, Ryan",4/2/2024,746169,75,100,2024
75,650633,"King, Michael",3/21/2024,746175,75,100,2024
73,666205,"Muller, Kyle",4/1/2024,745675,73,100,2024
73,620982,"Pinto, Ricardo",4/2/2024,745598,73,100,2024
72,687765,"Spence, Mitch",5/5/2024,745667,72,100,2024
71,642028,"Rogers, Josh",5/27/2024,746549,71,100,2024
70,502624,"Anderson, Chase",5/24/2024,746956,70,100,2024
68,621097,"Waguespack, Jacob",4/8/2024,746252,68,100,2024
68,607067,"Rea, Colin",5/25/2024,746958,68,100,2024
68,678906,"Teng, Kai-Wei",3/31/2024,745438,68,100,2024
68,607259,"Martinez, Nick",5/16/2024,746150,68,100,2024
68,502624,"Anderson, Chase",4/7/2024,746251,68,100,2024
67,663531,"Allen, Logan",5/31/2024,745820,67,100,2024
67,682052,"Lopez, Jacob",4/30/2024,745997,67,100,2024
67,647336,"Soroka, Michael",5/26/2024,746789,67,100,2024
66,668868,"Thompson, Zack",4/23/2024,745193,66,100,2024
65,669952,"White, Mitch",5/4/2024,745583,65,100,2024
65,669952,"White, Mitch",4/6/2024,745766,65,100,2024
65,670174,"Winckowski, Josh",4/9/2024,746981,65,100,2024
64,607259,"Martinez, Nick",5/26/2024,746711,64,100,2024
64,660761,"Suarez, José",4/7/2024,746251,64,100,2024
64,678061,"Kerr, Ray",5/19/2024,747120,64,100,2024
63,656232,"Bielak, Brandon",4/5/2024,745033,63,100,2024
62,608334,"Fulmer, Carson",4/13/2024,746979,62,100,2024
61,660761,"Suarez, José",3/28/2024,747060,61,100,2024
61,678906,"Teng, Kai-Wei",4/8/2024,745363,61,100,2024
61,608334,"Fulmer, Carson",4/27/2024,746245,61,100,2024
60,641745,"Keller, Brad",5/7/2024,745095,60,100,2024
59,502624,"Anderson, Chase",5/17/2024,745178,59,100,2024
59,666720,"Rodríguez, Yerry",5/7/2024,745668,59,100,2024
59,663773,"Hoeing, Bryan",4/2/2024,746086,59,100,2024
59,641149,"Parsons, Wes",3/29/2024,745117,59,100,2024
58,592288,"Emanuel, Kent",4/3/2024,746083,58,100,2024
58,694363,"Shuster, Jared",4/12/2024,746812,58,100,2024
58,663531,"Allen, Logan",4/18/2024,745356,58,100,2024
58,642232,"Yarbrough, Ryan",4/16/2024,746157,58,100,2024
58,682847,"Ortiz, Luis L.",4/24/2024,745513,58,100,2024
58,641745,"Keller, Brad",5/27/2024,747034,58,100,2024
58,623167,"Flexen, Chris",4/19/2024,745592,58,100,2024
58,676596,"Fleming, Josh",3/29/2024,746091,58,100,2024
58,660761,"Suarez, José",5/9/2024,746241,58,100,2024
58,687798,"Robertson, Nick",5/19/2024,745179,58,100,2024
57,663773,"Hoeing, Bryan",3/29/2024,746091,57,100,2024
57,686730,"Spiers, Carson",5/26/2024,746711,57,100,2024
56,641302,"Alexander, Tyler",4/24/2024,745099,56,100,2024
56,660761,"Suarez, José",5/24/2024,746227,56,100,2024
56,683627,"Molina, Anthony",4/2/2024,746898,56,100,2024
56,658648,"Avila, Pedro",4/8/2024,745432,56,100,2024
56,687765,"Spence, Mitch",3/29/2024,745682,56,100,2024
56,607259,"Martinez, Nick",4/15/2024,745268,56,100,2024
56,608344,"Irvin, Cole",5/22/2024,745173,56,100,2024
55,681867,"Criswell, Cooper",4/18/2024,746970,55,100,2024
55,694363,"Shuster, Jared",5/3/2024,745187,55,100,2024
55,642232,"Yarbrough, Ryan",4/7/2024,746895,55,100,2024
55,570632,"Ureña, José",4/27/2024,745020,55,100,2024
54,683627,"Molina, Anthony",5/8/2024,746562,54,100,2024
54,656786,"Mushinski, Parker",4/10/2024,746323,54,100,2024
54,660761,"Suarez, José",5/13/2024,746233,54,100,2024
54,642232,"Yarbrough, Ryan",4/28/2024,744947,54,100,2024
54,647336,"Soroka, Michael",5/22/2024,744933,54,100,2024
54,605513,"Turnbull, Spencer",5/15/2024,745582,54,100,2024
54,641726,"Jefferies, Daulton",5/1/2024,746966,54,100,2024
53,502179,"Espino, Paolo",4/12/2024,744954,53,100,2024
53,670990,"Ramírez, Yohan",4/6/2024,746731,53,100,2024
53,666205,"Muller, Kyle",5/8/2024,745659,53,100,2024
53,669467,"Pallante, Andre",4/20/2024,745190,53,100,2024
53,669713,"Wesneski, Hayden",5/13/2024,747128,53,100,2024
53,658648,"Avila, Pedro",5/7/2024,746638,53,100,2024
52,621053,"Ferguson, Tyler",5/7/2024,745668,52,100,2024
52,661527,"Martinez, Seth",5/12/2024,746476,52,100,2024
52,669270,"Kuhnel, Joel",4/12/2024,746408,52,100,2024
52,676962,"Brown, Ben",4/3/2024,746900,52,100,2024
51,696131,"Black, Mason",5/23/2024,745500,51,100,2024
51,608718,"Suter, Brent",4/21/2024,746727,51,100,2024
51,606965,"Devenski, Chris",4/13/2024,745110,51,100,2024
51,686826,"Jarvis, Bryce",3/30/2024,747221,51,100,2024
51,596133,"Weaver, Luke",4/1/2024,747218,51,100,2024
51,666205,"Muller, Kyle",5/12/2024,745255,51,100,2024
50,656232,"Bielak, Brandon",4/10/2024,746323,50,100,2024
