pitches,playerid,player_name,game_date,game_pk,total_pitches,pitch_percent,season
54,660761,"Suarez, José",5/13/2024,746233,54,100,2024
54,647336,"Soroka, Michael",6/30/2024,746779,54,100,2024
52,621053,"Ferguson, Tyler",5/7/2024,745668,52,100,2024
52,661527,"Martinez, Seth",5/12/2024,746476,52,100,2024
50,676714,"Hughes, Brandon",6/5/2024,747195,50,100,2024
48,502624,"Anderson, Chase",6/14/2024,746947,48,100,2024
48,502624,"Anderson, Chase",4/7/2024,746251,68,70.6,2024
48,660896,"Alcala, Jorge",5/7/2024,745915,48,100,2024
48,670174,"Winckowski, Josh",4/9/2024,746981,65,73.8,2024
48,620982,"Pinto, Ricardo",4/14/2024,745595,48,100,2024
47,678692,"Henriquez, Ronny",4/22/2024,745916,47,100,2024
47,647336,"Soroka, Michael",5/26/2024,746789,67,70.1,2024
47,572143,"Smith, Burch",6/9/2024,746054,47,100,2024
46,675921,"Howard, Spencer",7/20/2024,746613,46,100,2024
46,687798,"Robertson, Nick",5/19/2024,745179,58,79.3,2024
46,621294,"Heller, Ben",6/9/2024,745491,46,100,2024
46,623211,"Brazobán, Huascar",6/1/2024,746062,46,100,2024
46,657053,"Toussaint, Touki",8/25/2024,746754,46,100,2024
45,445926,"Chavez, Jesse",8/3/2024,747087,45,100,2024
45,660761,"Suarez, José",4/7/2024,746251,64,70.3,2024
45,687362,"Gillispie, Connor",8/4/2024,746606,55,81.8,2024
45,605280,"Holmes, Clay",8/11/2024,745711,45,100,2024
44,573186,"Stroman, Marcus",9/17/2024,745205,64,68.8,2024
44,691172,"Zulueta, Yosver",8/30/2024,746665,44,100,2024
44,547184,"Kelly, Michael",3/28/2024,745687,44,100,2024
43,683627,"Molina, Anthony",8/8/2024,746522,43,100,2024
43,670102,"Francis, Bowden",7/3/2024,744915,43,100,2024
43,676714,"Hughes, Brandon",6/1/2024,745812,43,100,2024
42,664875,"Lawrence, Justin",6/17/2024,746543,42,100,2024
42,656793,"Nelson, Nick",9/6/2024,746016,42,100,2024
42,683232,"Mears, Nick",5/18/2024,745339,42,100,2024
42,669854,"Blanco, Ronel",9/7/2024,746344,42,100,2024
42,641540,"Dunning, Dane",8/30/2024,744969,57,73.7,2024
42,621399,"Feigl, Brady",8/26/2024,745458,44,95.5,2024
42,657053,"Toussaint, Touki",8/30/2024,746749,63,66.7,2024
42,664351,"Contreras, Luis",7/5/2024,745884,42,100,2024
41,670990,"Ramírez, Yohan",4/6/2024,746731,53,77.4,2024
41,669952,"White, Mitch",4/12/2024,744954,41,100,2024
41,660761,"Suarez, José",5/3/2024,746645,41,100,2024
41,675540,"Curry, Xzavion",8/3/2024,746608,49,83.7,2024
41,671305,"Otañez, Michel",8/24/2024,745617,41,100,2024
41,676596,"Fleming, Josh",7/21/2024,745470,41,100,2024
41,666818,"Frías, Luis",9/17/2024,744961,41,100,2024
41,681892,"Funderburk, Kody",9/27/2024,745847,41,100,2024
41,543351,"Jackson, Jay",4/23/2024,745917,41,100,2024
41,641726,"Jefferies, Daulton",6/21/2024,745483,53,77.4,2024
40,677944,"Cecconi, Slade",9/2/2024,747155,47,85.1,2024
40,547973,"Chapman, Aroldis",7/7/2024,745477,40,100,2024
40,686826,"Jarvis, Bryce",6/11/2024,747190,40,100,2024
40,647336,"Soroka, Michael",6/26/2024,746777,63,63.5,2024
40,658648,"Avila, Pedro",5/18/2024,746642,40,100,2024
40,663432,"Rainey, Tanner",4/1/2024,744875,40,100,2024
40,598286,"Ramirez, Nick",7/4/2024,746126,40,100,2024
40,608718,"Suter, Brent",4/13/2024,746811,40,100,2024
40,502624,"Anderson, Chase",9/2/2024,744972,82,48.8,2024
40,621242,"Díaz, Edwin",9/30/2024,747139,40,100,2024
40,674370,"Bido, Osvaldo",9/7/2024,745613,40,100,2024
39,681517,"Leahy, Kyle",9/6/2024,745131,39,100,2024
39,671305,"Otañez, Michel",7/21/2024,745633,39,100,2024
39,670219,"Kristofak, Zac",4/28/2024,746237,39,100,2024
39,664079,"Jay, Tyler",4/11/2024,747137,39,100,2024
39,660644,"Bruján, Vidal",9/19/2024,746011,39,100,2024
39,622786,"Tinoco, Jesus",9/26/2024,745853,39,100,2024
39,666208,"Speas, Alex",5/31/2024,746387,39,100,2024
39,669060,"Wilson, Bryse",9/1/2024,746669,43,90.7,2024
39,642701,"Santana, Dennis",6/8/2024,745735,39,100,2024
39,683232,"Mears, Nick",7/2/2024,746537,39,100,2024
39,695243,"Miller, Mason",8/15/2024,745783,39,100,2024
39,676596,"Fleming, Josh",3/29/2024,746091,58,67.2,2024
39,656240,"Blewett, Scott",9/26/2024,745853,39,100,2024
39,445926,"Chavez, Jesse",7/21/2024,747094,39,100,2024
39,656945,"Scott, Tanner",5/12/2024,746068,39,100,2024
39,656671,"Maciejewski, Josh",7/20/2024,745720,50,78,2024
39,664875,"Lawrence, Justin",9/28/2024,746499,39,100,2024
39,691172,"Zulueta, Yosver",8/4/2024,746680,39,100,2024
39,656629,"Kopech, Michael",4/2/2024,746814,39,100,2024
38,620982,"Pinto, Ricardo",4/2/2024,745598,73,52.1,2024
38,668984,"Legumina, Casey",8/27/2024,746671,38,100,2024
38,669461,"Liberatore, Matthew",4/28/2024,745834,38,100,2024
38,691172,"Zulueta, Yosver",7/31/2024,746678,38,100,2024
38,605335,"Leibrandt, Brandon",9/19/2024,746663,80,47.5,2024
38,608718,"Suter, Brent",4/27/2024,745020,38,100,2024
38,663567,"Lambert, Peter",7/24/2024,746525,38,100,2024
38,656550,"Holmes, Grant",7/20/2024,747096,44,86.4,2024
38,664079,"Jay, Tyler",7/30/2024,745958,38,100,2024
38,681810,"Warren, Austin",9/27/2024,745280,38,100,2024
38,622663,"Severino, Luis",8/17/2024,745785,113,33.6,2024
38,680767,"Vodnik, Victor",7/14/2024,745797,38,100,2024
37,670223,"Mervis, Matt",4/27/2024,746971,37,100,2024
37,592426,"Jackson, Luke",9/10/2024,744807,37,100,2024
37,571948,"Milner, Hoby",5/25/2024,746958,37,100,2024
37,681892,"Funderburk, Kody",7/3/2024,745888,37,100,2024
37,669387,"Mlodzinski, Carmen",5/22/2024,745502,37,100,2024
37,598286,"Ramirez, Nick",9/9/2024,746101,37,100,2024
37,670280,"Bednar, David",8/11/2024,746114,37,100,2024
37,608638,"Chargois, JT",7/2/2024,746047,37,100,2024
37,641401,"Brogdon, Connor",4/1/2024,745600,37,100,2024
37,694738,"Roupp, Landen",6/30/2024,745320,59,62.7,2024
37,677053,"Nardi, Andrew",8/11/2024,746025,37,100,2024
37,681810,"Warren, Austin",9/24/2024,747149,37,100,2024
37,680911,"Miller, Owen",4/27/2024,745998,37,100,2024
37,666205,"Muller, Kyle",8/3/2024,745636,37,100,2024
37,687014,"Avila, Nick",5/14/2024,745342,37,100,2024
37,641703,"Honeywell, Brent",8/6/2024,746120,68,54.4,2024
37,678906,"Teng, Kai-Wei",4/8/2024,745363,61,60.7,2024
36,620982,"Pinto, Ricardo",4/12/2024,745596,36,100,2024
36,687863,"Hodge, Porter",8/28/2024,745452,36,100,2024
36,628708,"Marte, Yunior",7/22/2024,745881,36,100,2024
36,669211,"Akin, Keegan",6/9/2024,745085,36,100,2024
36,663687,"Harris, Hogan",9/21/2024,745610,40,90,2024
36,658648,"Avila, Pedro",7/3/2024,746617,36,100,2024
36,700270,"Díaz, Yilber",9/14/2024,747148,71,50.7,2024
36,669387,"Mlodzinski, Carmen",5/31/2024,744928,36,100,2024
36,660761,"Suarez, José",5/9/2024,746241,58,62.1,2024
36,686826,"Jarvis, Bryce",4/15/2024,747213,36,100,2024
36,656924,"Ryan, Ryder",4/1/2024,744875,36,100,2024
36,622065,"Young, Alex",9/13/2024,745529,36,100,2024
36,663546,"Hjelle, Sean",6/29/2024,745317,36,100,2024
36,612434,"Castro, Miguel",4/20/2024,745354,36,100,2024
36,661269,"Gutierrez, Vladimir",3/31/2024,746090,80,45,2024
36,672335,"Pérez, Cionel",9/4/2024,746990,36,100,2024
36,668984,"Legumina, Casey",9/18/2024,746662,36,100,2024
36,592332,"Gausman, Kevin",7/27/2024,744908,118,30.5,2024
36,666163,"Rortvedt, Ben",4/13/2024,745110,36,100,2024
36,664849,"Young, Danny",8/8/2024,746522,36,100,2024
36,656638,"Lange, Alex",4/13/2024,746489,36,100,2024
36,623211,"Brazobán, Huascar",8/22/2024,745379,36,100,2024
35,671111,"Peralta, Sammy",8/26/2024,746753,35,100,2024
35,608718,"Suter, Brent",7/5/2024,746693,57,61.4,2024
35,676254,"Walker, Ryan",8/18/2024,745621,35,100,2024
35,687922,"Lucas, Easton",5/13/2024,746393,39,89.7,2024
35,607259,"Martinez, Nick",7/26/2024,745068,35,100,2024
35,664208,"Maton, Phil",4/15/2024,745106,35,100,2024
35,493603,"Ottavino, Adam",5/4/2024,745100,35,100,2024
35,663460,"Bubic, Kris",7/27/2024,746278,35,100,2024
35,695243,"Miller, Mason",4/6/2024,746498,35,100,2024
35,621237,"Alvarado, José",6/9/2024,745571,35,100,2024
35,596133,"Weaver, Luke",9/13/2024,745696,35,100,2024
35,543351,"Jackson, Jay",5/5/2024,745913,35,100,2024
35,663432,"Rainey, Tanner",4/30/2024,745018,35,100,2024
35,688297,"Roycroft, Chris",9/8/2024,745128,35,100,2024
35,676684,"Vest, Will",7/26/2024,746448,35,100,2024
35,570632,"Ureña, José",4/27/2024,745020,55,63.6,2024
35,670174,"Winckowski, Josh",7/10/2024,746934,38,92.1,2024
35,641703,"Honeywell, Brent",9/2/2024,747155,35,100,2024
35,664875,"Lawrence, Justin",9/15/2024,746506,35,100,2024
35,669467,"Pallante, Andre",4/20/2024,745190,53,66,2024
35,543063,"Crawford, Brandon",7/27/2024,745150,35,100,2024
35,642232,"Yarbrough, Ryan",3/28/2024,746165,44,79.5,2024
35,596001,"Junis, Jakob",7/3/2024,746534,35,100,2024
35,543859,"Tonkin, Michael",8/20/2024,745707,35,100,2024
35,641771,"Kuhl, Chad",7/10/2024,746773,35,100,2024
35,621051,"Wilson, Steven",8/4/2024,745879,35,100,2024
35,681869,"Dubin, Shawn",4/16/2024,746400,41,85.4,2024
35,608334,"Fulmer, Carson",4/24/2024,746244,35,100,2024
35,666214,"Wentz, Joey",4/13/2024,746490,42,83.3,2024
35,679885,"Martinez, Justin",4/19/2024,745352,35,100,2024
35,657585,"Garrett, Reed",4/4/2024,745843,45,77.8,2024
35,670970,"Morejon, Adrian",4/27/2024,745425,47,74.5,2024
35,694363,"Shuster, Jared",7/24/2024,744989,35,100,2024
35,686973,"Varland, Louis",9/10/2024,745856,35,100,2024
35,642701,"Santana, Dennis",4/5/2024,745764,37,94.6,2024
35,664776,"Cousins, Jake",8/20/2024,745707,35,100,2024
35,668674,"Erceg, Lucas",9/17/2024,746261,35,100,2024
35,669062,"Miller, Erik",3/30/2024,745436,35,100,2024
35,621199,"Bowman, Matt",4/26/2024,746243,35,100,2024
34,664875,"Lawrence, Justin",5/13/2024,745420,37,91.9,2024
34,656945,"Scott, Tanner",4/10/2024,745763,34,100,2024
34,598286,"Ramirez, Nick",5/16/2024,746150,45,75.6,2024
34,669165,"Hurt, Kyle",3/30/2024,746168,34,100,2024
34,666205,"Muller, Kyle",7/24/2024,745634,40,85,2024
34,660761,"Suarez, José",9/9/2024,745860,48,70.8,2024
34,660825,"Bazardo, Eduard",9/10/2024,745210,34,100,2024
34,659275,"Lamet, Dinelson",4/1/2024,746170,34,100,2024
34,657585,"Garrett, Reed",5/19/2024,746064,34,100,2024
34,657240,"Merryweather, Julian",8/2/2024,746845,34,100,2024
34,518886,"Kimbrel, Craig",9/17/2024,746987,34,100,2024
34,605121,"Anderson, Justin",7/13/2024,746766,34,100,2024
34,672782,"Gómez, Yoendrys",7/24/2024,745716,34,100,2024
34,642701,"Santana, Dennis",7/9/2024,745968,34,100,2024
34,445276,"Jansen, Kenley",6/9/2024,746787,34,100,2024
34,677944,"Cecconi, Slade",8/8/2024,747169,52,65.4,2024
34,693312,"Nicolas, Kyle",6/16/2024,746546,34,100,2024
34,676684,"Vest, Will",8/14/2024,746436,34,100,2024
34,548389,"Stripling, Ross",9/8/2024,745616,34,100,2024
34,656657,"Logue, Zach",9/19/2024,746011,34,100,2024
34,641755,"Kinley, Tyler",7/8/2024,746692,34,100,2024
34,605177,"Chafin, Andrew",6/5/2024,745007,34,100,2024
34,641312,"Anderson, Shaun",5/17/2024,745016,48,70.8,2024
34,695243,"Miller, Mason",9/1/2024,744970,34,100,2024
34,571946,"Miller, Shelby",4/4/2024,745844,34,100,2024
34,689266,"Dodd, Dylan",8/7/2024,747085,34,100,2024
34,605280,"Holmes, Clay",5/10/2024,745094,34,100,2024
34,686654,"Adcock, Ty",7/5/2024,745479,46,73.9,2024
34,694037,"Palencia, Daniel",4/7/2024,746895,48,70.8,2024
34,681892,"Funderburk, Kody",6/27/2024,747185,34,100,2024
34,642520,"Garabito, Gerson",9/15/2024,745206,58,58.6,2024
34,670990,"Ramírez, Yohan",5/21/2024,746145,34,100,2024
34,671111,"Peralta, Sammy",7/26/2024,746767,71,47.9,2024
34,667463,"King, John",7/4/2024,745484,34,100,2024
34,681676,"Fernandez, Ryan",9/26/2024,746495,37,91.9,2024
34,621237,"Alvarado, José",8/20/2024,747083,34,100,2024
34,518585,"Cruz, Fernando",7/28/2024,745063,34,100,2024
34,658648,"Avila, Pedro",4/24/2024,746649,45,75.6,2024
34,670955,"Uceta, Edwin",9/8/2024,746989,34,100,2024
34,605400,"Nola, Aaron",5/14/2024,745821,109,31.2,2024
34,670036,"Festa, Matt",9/4/2024,744964,34,100,2024
34,543238,"Gose, Anthony",8/27/2024,746594,34,100,2024
34,656848,"Petersen, Michael",7/3/2024,746128,34,100,2024
33,543859,"Tonkin, Michael",3/29/2024,745848,33,100,2024
33,663436,"Martin, Davis",7/27/2024,746768,60,55,2024
33,669711,"Weissert, Greg",7/28/2024,746929,42,78.6,2024
33,670970,"Morejon, Adrian",8/14/2024,745381,33,100,2024
33,656629,"Kopech, Michael",5/15/2024,746795,33,100,2024
33,666720,"Rodríguez, Yerry",5/7/2024,745668,59,55.9,2024
33,571656,"Farmer, Buck",5/29/2024,746706,33,100,2024
33,670871,"Zuñiga, Guillo",9/14/2024,746177,33,100,2024
33,677161,"Kelly, Zack",5/22/2024,745089,33,100,2024
33,683568,"Iriarte, Jairo",9/26/2024,746738,33,100,2024
33,670174,"Winckowski, Josh",6/25/2024,746943,91,36.3,2024
33,670950,"Richards, Trevor",8/14/2024,745869,33,100,2024
33,605155,"Brewer, Colten",4/19/2024,746892,33,100,2024
33,623474,"Herget, Jimmy",8/17/2024,746190,33,100,2024
33,605452,"Ross, Joe",8/6/2024,747086,33,100,2024
33,686730,"Spiers, Carson",4/9/2024,746732,81,40.7,2024
33,663562,"Davis, Noah",7/23/2024,746524,57,57.9,2024
